Index,Country,City,User Sessions
9,"States,",None,251
330,"States,",Chicago,213
56,Kingdom,None,87
135,"States,",Redmond,63
442,"States,",None,52
419,"States,",Boydton,28
4,Kingdom,",Cambridge",20
94,"States,","Ashburn,39",17
901,"States,",Washington,9
5,Kingdom,",Dundee,56",8
